timestamp,test-class,test-method,time,description,result
2021-12-13 14:14:45.846,acme.testing.administrator.configuration.AdministratorConfigurationListTest,ListRecent,5327,"[1] recordIndex=0, spam=sex,sexo,hard core,viagra,cialis,nigeria,has ganado,you've won,millon de dolares,million dollar, threshold=0.1",OK
2021-12-13 14:15:01.328,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatepositive,6035,"[1] recordIndex=0, spam=sex, threshold=0.1",OK
2021-12-13 14:15:07.444,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatepositive,5842,"[2] recordIndex=0, spam=sex, threshold=0",OK
2021-12-13 14:15:13.394,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatepositive,5698,"[3] recordIndex=0, spam=sex, threshold=1",OK
2021-12-13 14:15:19.582,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatepositive,5900,"[4] recordIndex=0, spam=sex, threshold=0.5",OK
2021-12-13 14:15:25.556,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatepositive,5731,"[5] recordIndex=0, spam=million dollars, threshold=0",OK
2021-12-13 14:15:30.84,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatenegative,5015,"[1] recordIndex=0, spam=null, threshold=-500",OK
2021-12-13 14:15:36.217,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatenegative,5125,"[2] recordIndex=0, spam=null, threshold=null",OK
2021-12-13 14:15:41.528,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatenegative,5055,"[3] recordIndex=0, spam=null, threshold=0",OK
2021-12-13 14:15:46.728,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatenegative,4953,"[4] recordIndex=0, spam=null, threshold=1.2",OK
2021-12-13 14:15:51.799,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatenegative,4827,"[5] recordIndex=0, spam=null, threshold=1",OK
2021-12-13 14:15:56.912,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatenegative,4866,"[6] recordIndex=0, spam=null, threshold=0.1",OK
2021-12-13 14:16:02.248,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatenegative,5072,"[7] recordIndex=0, spam=null, threshold=0.89",OK
2021-12-13 14:16:07.53,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatenegative,5023,"[8] recordIndex=0, spam=sex, threshold=null",OK
2021-12-13 14:16:12.865,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatenegative,5098,"[9] recordIndex=0, spam=sex, threshold=-0.1",OK
2021-12-13 14:16:17.954,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatenegative,4851,"[10] recordIndex=0, spam=sex, threshold=null",OK
2021-12-13 14:16:23.239,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatenegative,5001,"[11] recordIndex=0, spam=sex, threshold=1.2",OK
2021-12-13 14:16:28.389,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatenegative,4899,"[12] recordIndex=0, spam=sex, threshold=600",OK
2021-12-13 14:16:33.528,acme.testing.administrator.configuration.AdministratorConfigurationUpdateTest,updatenegative,4889,"[13] recordIndex=0, spam=sex, threshold=-600",OK
